indicator,market,destination,units,period_date,value
Airseat,"Canada, Scheduled",All airports in Hawaii,number,2009-04-01,
Airseat,"Canada, Scheduled",Honolulu,number,2009-04-01,
Airseat,"Canada, Scheduled",Kahului,number,2009-04-01,
Airseat,"Canada, Scheduled",Kona,number,2009-04-01,
Airseat,"Canada, Scheduled",Hilo,number,2009-04-01,0.0
Airseat,"Canada, Scheduled",Lihue,number,2009-04-01,0.0
Airseat,"Other Asia, Scheduled",All airports in Hawaii,number,2009-04-01,
Airseat,"Other Asia, Scheduled",Honolulu,number,2009-04-01,
Airseat,"Other Asia, Scheduled",Kahului,number,2009-04-01,0.0
Airseat,"Other Asia, Scheduled",Kona,number,2009-04-01,0.0
Airseat,"Other Asia, Scheduled",Hilo,number,2009-04-01,0.0
Airseat,"Other Asia, Scheduled",Lihue,number,2009-04-01,0.0
Airseat,"Oceania, Scheduled",All airports in Hawaii,number,2009-04-01,
Airseat,"Oceania, Scheduled",Honolulu,number,2009-04-01,
Airseat,"Oceania, Scheduled",Kahului,number,2009-04-01,0.0
Airseat,"Oceania, Scheduled",Kona,number,2009-04-01,0.0
Airseat,"Oceania, Scheduled",Hilo,number,2009-04-01,0.0
Airseat,"Oceania, Scheduled",Lihue,number,2009-04-01,0.0
Airseat,"Other, Scheduled",All airports in Hawaii,number,2009-04-01,
Airseat,"Other, Scheduled",Honolulu,number,2009-04-01,
Airseat,"Other, Scheduled",Kahului,number,2009-04-01,0.0
Airseat,"Other, Scheduled",Kona,number,2009-04-01,0.0
Airseat,"Other, Scheduled",Hilo,number,2009-04-01,0.0
Airseat,"Other, Scheduled",Lihue,number,2009-04-01,0.0
Airseat,"All, Scheduled & Charters",All airports in Hawaii,number,2009-05-01,
Airseat,"All, Scheduled & Charters",Honolulu,number,2009-05-01,
Airseat,"All, Scheduled & Charters",Kahului,number,2009-05-01,
Airseat,"All, Scheduled & Charters",Kona,number,2009-05-01,
Airseat,"All, Scheduled & Charters",Hilo,number,2009-05-01,0.0
Airseat,"All, Scheduled & Charters",Lihue,number,2009-05-01,
Airseat,"All, Scheduled",All airports in Hawaii,number,2009-05-01,
Airseat,"All, Scheduled",Honolulu,number,2009-05-01,
Airseat,"All, Scheduled",Kahului,number,2009-05-01,
Airseat,"All, Scheduled",Kona,number,2009-05-01,
Airseat,"All, Scheduled",Hilo,number,2009-05-01,0.0
Airseat,"All, Scheduled",Lihue,number,2009-05-01,
Airseat,"All, Charters",All airports in Hawaii,number,2009-05-01,
Airseat,"All, Charters",Honolulu,number,2009-05-01,
Airseat,"All, Charters",Kahului,number,2009-05-01,0.0
Airseat,"All, Charters",Kona,number,2009-05-01,0.0
Airseat,"All, Charters",Hilo,number,2009-05-01,0.0
Airseat,"All, Charters",Lihue,number,2009-05-01,0.0
Airseat,"All Domestic, Scheduled & Charters",All airports in Hawaii,number,2009-05-01,
Airseat,"All Domestic, Scheduled & Charters",Honolulu,number,2009-05-01,
Airseat,"All Domestic, Scheduled & Charters",Kahului,number,2009-05-01,
Airseat,"All Domestic, Scheduled & Charters",Kona,number,2009-05-01,
Airseat,"All Domestic, Scheduled & Charters",Hilo,number,2009-05-01,0.0
Airseat,"All Domestic, Scheduled & Charters",Lihue,number,2009-05-01,
Airseat,"All Domestic, Scheduled",All airports in Hawaii,number,2009-05-01,
Airseat,"All Domestic, Scheduled",Honolulu,number,2009-05-01,
Airseat,"All Domestic, Scheduled",Kahului,number,2009-05-01,
