"Indicator","Market","Destination","Units","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04"
"Airseat","All Int'l, Scheduled","Kona","number","12,399","7,812","8,578","8,368","6,510","6,300","6,510","6,510","6,300","6,510","6,300","7,133","9,269","8,052","8,682","8,638","6,510","6,300","6,510","6,510","6,300","6,090","0","2,127","2,387","2,028","2,176","2,239","148","0","0","0","0","0","0","3,002","3,168","2,836","3,213","2,414","664","830","664","830","664","664","1,826","3,666","3,832","3,500","4,043","3,032","870","696","522","870","696","696","1,914","5,368","6,238","5,716","6,449","5,368","870","696","696","870","696","870","1,914","6,027","6,449","5,716","6,238","5,984","1,044","696","870","696","672","840","2,016","5,768","6,618","6,000","7,746","5,886","0","0","0","0","0","168","2,184","7,356","10,158","9,360","10,452","9,822","3,662","3,614","3,614","3,614","6,798","10,119","14,120","16,679","17,247","15,868","17,811","16,544","9,783","9,584","9,783","10,061","9,584","10,479","14,804","17,036","17,543","16,315","17,821","14,004","10,061","9,584","9,783","9,783","9,584","10,653","14,804","16,587","17,993","16,691","4,002","0","0","0","0","0","0","0","0","0","696","174","0","0","0","0","0","0","0","174","4,350","6,234","6,388","5,528","8,083","6,378","0","0","1,393","2,587","2,587","348","5,220","8,258","9,406","7,576","9,307","4,052","0","0","1,393","2,587","0","964","9,205","10,274","9,275","8,166","11,354","522","0","0","995","2,189","0","855","7,581","7,591","6,194","6,378","7,591","4,807","0","0","0","0","0","696","4,524","6,721","7,138","6,328","6,547","4,638"
"Airseat","All Int'l, Scheduled","Hilo","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","All Int'l, Scheduled","Lihue","number","0","0","0","0","0","0","0","0","0","0","0","830","1,494","1,328","1,494","1,328","166","0","0","0","0","0","0","1,494","1,332","1,184","1,332","1,332","0","0","0","0","0","0","166","2,158","2,158","2,158","2,158","1,992","664","830","664","664","830","664","1,328","2,324","2,158","1,992","2,158","2,088","696","870","522","870","696","696","1,566","4,002","5,394","4,872","5,394","4,524","870","696","696","870","696","696","1,566","5,394","5,394","4,872","5,394","5,220","1,044","696","696","870","672","840","1,512","5,208","5,208","4,872","5,208","5,040","0","0","0","0","0","168","1,848","5,208","5,208","4,704","5,208","4,872","0","0","0","0","0","336","4,200","5,208","5,208","4,704","5,208","4,704","0","0","0","0","0","696","5,220","6,577","7,760","6,900","7,084","4,698","0","0","0","0","0","522","3,828","4,698","5,394","5,046","4,002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","174","3,480","3,654","4,176","3,654","5,220","4,002","0","0","0","0","0","348","3,654","4,524","4,002","3,480","3,306","1,392","0","0","0","0","0","348","2,784","3,306","2,088","2,088","2,610","522","0","0","0","0","0","174","2,262","2,958","2,610","2,610","3,132","1,218","0","0","0","0","0","0","0","2,262","2,436","2,436","3,132","1,218"
"Airseat","All Int'l, Charters","All airports in Hawaii","number","2,400","2,000","2,800","2,000","1,600","0","1,248","3,358","1,257","153","400","8,000","2,762","6,112","5,418","800","800","0","0","2,879","7,076","4,921","1,396","4,369","3,216","4,212","3,119","1,795","2,511","1,406","1,109","10,306","2,456","1,992","3,706","9,985","4,894","3,915","5,933","5,703","1,782","1,133","3,364","13,892","2,744","873","2,827","6,627","1,787","15,501","9,979","9,375","1,850","3,063","3,488","12,720","1,788","3,081","1,777","6,279","3,085","1,286","2,663","0","0","294","2,163","10,767","5,099","1,158","379","8,185","2,238","259","294","294","563","896","1,801","8,239","1,365","1,247","0","8,256","552","1,252","5,617","1,448","835","264","1,592","9,609","805","440","1,126","2,410","1,584","1,212","276","1,727","1,242","1,106","690","4,217","636","291","2,613","3,259","834","508","1,859","618","3,107","3,578","1,042","2,250","10,217","1,592","4,086","2,037","770","591","278","7,885","3,993","669","1,382","4,247","875","1,119","278","6,357","1,200","597","11,902","982","126","0","753","790","606","278","0","761","259","259","300","578","253","1,062","2,778","1,374","0","169","0","350","1,233","164","1,205","1,531","858","483","2,416","297","278","297","676","599","1,822","948","1,318","0","675","1,308","2,416","517","448","2,116","0","1,789","1,160","988","734","915","297","278","683","448","556","720","1,032","2,676","841","683","1,443","830","340","781","888","195","1,083","939","1,197","784","1,542","275","0","386"
"Airseat","All Int'l, Charters","Honolulu","number","2,400","2,000","2,800","2,000","1,600","0","1,248","3,358","1,257","153","400","8,000","2,762","6,112","5,418","800","800","0","0","2,879","7,076","4,921","1,396","4,369","3,216","4,212","3,119","1,795","2,511","1,406","1,109","10,306","2,456","1,992","3,706","9,985","4,894","3,915","5,933","5,703","1,782","1,133","3,364","13,892","2,744","873","2,827","6,627","1,787","15,501","9,979","9,375","1,850","3,063","3,488","12,720","1,788","3,081","1,777","6,279","3,085","1,286","2,663","0","0","294","2,163","10,767","5,099","1,158","379","8,185","2,238","259","294","294","563","896","1,801","8,239","1,365","1,247","0","8,256","552","1,252","5,617","1,448","835","264","1,592","9,609","805","440","1,126","2,410","1,584","1,212","276","1,727","1,242","1,106","690","4,217","636","291","2,613","3,259","834","508","1,859","618","3,107","3,578","1,042","2,250","10,217","1,592","4,086","2,037","770","591","278","7,885","3,993","669","1,382","4,247","875","1,119","278","6,357","1,200","597","6,814","982","126","0","753","790","606","278","0","761","259","259","300","578","253","1,062","2,778","1,200","0","169","0","350","1,233","164","1,205","1,531","858","483","2,416","297","278","297","676","599","1,822","948","1,318","0","675","1,308","2,416","517","448","908","0","1,789","1,160","988","734","915","297","278","683","448","556","720","1,032","2,676","667","509","1,443","830","340","301","888","195","1,015","939","788","784","862","275","0","386"
"Airseat","All Int'l, Charters","Kahului","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5,088","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","174","174","0","0","0","480","0","0","0","0","0","0","0","0","0","0"
"Airseat","All Int'l, Charters","Kona","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68","0","409","0","680","0","0","0"
"Airseat","All Int'l, Charters","Hilo","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","All Int'l, Charters","Lihue","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","US West, Scheduled","All airports in Hawaii","number","450,752","400,377","463,737","446,268","451,748","476,988","523,436","499,386","378,199","404,685","395,403","455,773","438,547","395,158","478,480","466,925","479,453","519,215","552,889","538,397","440,506","469,940","457,559","508,287","486,004","436,322","501,963","481,154","479,640","526,551","554,837","512,073","445,547","461,956","441,712","504,983","476,593","452,101","522,494","480,219","493,553","534,393","598,262","571,357","475,307","496,058","501,864","550,684","522,009","482,865","566,436","509,207","508,278","577,290","617,885","580,954","457,378","482,113","501,671","548,974","526,470","477,455","571,786","512,720","534,664","597,693","654,857","629,480","507,171","536,350","529,357","603,783","577,787","518,099","629,607","587,925","601,055","669,276","698,089","659,004","518,408","557,815","559,304","640,979","599,445","560,650","629,406","580,926","605,928","677,446","717,613","671,868","526,691","560,032","549,842","644,438","579,820","516,763","620,671","572,484","596,442","668,154","709,090","674,809","559,113","584,572","571,417","681,399","658,613","588,228","714,932","657,482","689,510","724,422","761,056","720,777","616,642","631,194","633,017","725,129","668,288","591,313","721,330","685,818","727,060","784,087","820,213","779,414","635,877","684,953","684,892","781,050","719,637","682,539","620,400","77,594","84,945","91,334","137,164","153,781","133,014","188,037","387,154","496,449","499,872","449,545","559,931","623,611","703,639","835,781","1,101,087","955,397","816,457","858,257","822,282","863,180","813,519","743,701","911,517","841,373","844,527","859,246","886,224","868,303","728,565","725,704","738,639","823,421","813,069","711,405","849,725","794,029","800,001","843,072","886,224","838,564","701,466","730,237","719,831","770,795","723,386","695,975","804,198","755,466","833,189","833,969","892,189","815,438","712,028","740,182","737,031","822,287","764,965","676,123","805,791","764,078","781,001","832,153","849,024","805,054","705,026","747,006","736,517","840,164","791,513","748,809","879,833","832,226"
"Airseat","US West, Scheduled","Honolulu","number","272,741","241,508","272,489","266,142","274,921","278,355","303,102","291,023","239,231","246,841","241,226","271,504","263,981","231,028","268,928","268,718","279,255","288,954","298,989","299,930","259,433","269,814","263,714","287,460","280,554","252,248","283,568","269,412","277,052","291,720","295,656","281,602","256,244","261,302","247,599","277,347","261,813","245,882","275,667","259,967","279,719","297,722","320,171","313,033","276,273","275,922","272,870","300,604","275,727","258,521","306,952","281,351","298,208","324,195","341,365","328,360","270,868","276,197","280,661","305,088","287,223","258,807","306,693","283,027","303,550","331,528","354,638","345,113","294,026","301,794","289,698","326,558","305,490","270,777","329,139","316,037","328,508","351,519","367,841","349,234","288,334","306,179","303,654","336,468","309,839","287,300","314,674","306,608","329,602","346,476","360,614","341,569","288,044","303,153","289,797","326,268","290,222","257,095","301,874","291,912","315,832","333,744","351,575","342,274","302,524","309,932","292,757","335,911","315,422","276,981","328,267","304,858","320,119","334,969","350,057","339,843","305,490","309,222","302,895","345,016","313,462","277,184","336,900","323,683","341,951","358,964","374,055","367,508","315,762","333,461","327,428","365,380","338,583","319,128","301,477","61,136","76,067","74,739","108,395","127,891","106,808","124,675","196,111","254,240","252,487","225,177","278,585","291,171","319,175","382,411","456,661","440,590","376,788","382,723","379,672","415,607","384,216","352,210","420,510","395,587","388,170","374,888","430,966","391,399","346,398","351,669","363,367","400,259","391,656","346,177","401,161","385,931","389,755","406,199","430,966","416,488","380,613","395,794","387,235","392,675","373,574","361,600","422,027","406,519","451,876","437,770","467,105","426,785","375,867","389,309","391,754","436,214","404,994","394,332","436,623","424,990","423,033","448,791","459,651","428,209","378,623","400,896","388,672","433,664","419,446","389,925","453,620","431,527"
"Airseat","US West, Scheduled","Kahului","number","102,669","91,770","110,414","100,906","98,374","112,619","125,354","117,440","79,920","88,651","86,002","102,075","97,689","92,326","118,079","111,453","112,543","131,617","147,079","139,802","109,035","119,499","115,929","131,439","118,248","104,852","127,183","121,672","113,462","130,452","143,825","126,101","106,203","109,055","107,704","126,035","118,342","113,027","133,367","118,395","116,299","128,750","160,915","146,991","109,234","122,140","125,507","136,169","133,669","120,387","141,076","126,483","121,283","149,384","165,065","147,275","107,973","114,472","123,001","140,930","130,951","119,790","148,897","131,809","133,180","147,770","163,302","152,956","124,045","131,915","137,887","157,922","156,973","142,706","171,021","157,739","155,184","173,365","177,538","167,581","137,477","144,306","146,680","173,972","160,338","151,922","179,235","161,041","160,121","182,366","193,829","176,281","143,694","149,280","151,024","180,634","162,965","144,171","180,103","163,553","160,184","176,548","187,820","174,642","148,518","149,716","153,606","180,906","170,638","154,851","195,657","176,900","180,278","199,376","211,877","199,958","170,351","168,730","165,432","192,510","177,103","156,852","194,434","193,934","205,177","232,531","245,044","227,621","188,065","201,897","198,091","229,130","206,151","193,244","170,670","7,821","3,474","10,974","18,461","12,373","13,195","26,973","96,367","153,286","168,050","144,897","182,553","205,332","222,521","253,517","412,515","280,123","228,235","254,545","226,894","210,609","231,551","216,404","268,237","238,738","238,151","253,794","246,812","252,122","203,273","198,943","200,352","221,005","228,282","198,354","243,834","219,197","220,369","234,747","246,812","216,932","148,271","151,662","162,641","185,652","175,314","168,968","195,463","177,450","184,937","193,417","209,110","190,586","168,319","170,612","170,396","184,331","171,845","140,591","182,688","182,498","171,883","185,585","199,924","181,495","156,237","164,414","170,148","189,933","173,037","174,270","216,124","194,662"
"Airseat","US West, Scheduled","Kona","number","42,385","38,657","46,475","45,214","42,419","43,758","47,817","47,117","29,348","37,456","37,095","46,893","44,829","42,590","53,938","50,304","49,091","54,538","59,639","55,131","39,428","45,265","46,282","52,638","52,559","48,262","54,983","47,594","46,623","49,656","53,509","47,567","37,810","43,301","42,372","50,698","50,232","49,322","60,710","49,222","44,035","51,082","56,393","53,634","42,305","49,494","51,442","54,476","55,343","53,777","61,682","49,918","40,912","46,662","50,447","47,302","35,836","45,902","49,612","50,015","55,685","51,793","62,002","47,434","44,648","56,481","65,722","63,891","41,933","49,632","50,185","60,737","59,748","57,012","73,418","61,849","62,776","74,914","78,956","73,073","45,697","56,011","59,813","68,725","69,627","68,034","76,801","62,159","61,946","76,554","82,313","77,641","47,867","54,961","59,609","74,450","69,994","66,846","82,524","65,545","65,318","77,464","83,796","76,913","50,922","60,844","65,418","87,212","90,379","81,964","100,688","93,236","101,106","100,484","103,425","93,319","68,232","75,289","83,637","95,065","95,499","84,824","99,482","88,844","96,028","97,748","101,632","93,261","64,956","72,590","78,213","94,743","94,782","92,040","85,693","4,781","3,088","3,281","7,528","9,657","9,453","23,045","45,458","74,176","71,273","67,717","83,303","90,778","107,706","112,428","125,415","124,388","109,099","116,742","112,770","125,019","103,037","94,292","118,581","108,021","115,208","123,344","119,668","117,174","89,701","88,936","86,922","107,946","106,716","96,788","117,122","103,428","105,943","116,112","119,668","116,693","101,423","111,386","103,793","114,566","96,983","95,830","106,963","96,590","109,638","111,738","118,772","110,522","95,238","103,061","99,018","114,522","109,744","83,510","103,724","66,373","99,283","106,632","112,046","103,848","89,724","99,527","100,332","118,951","114,888","103,473","116,439","108,428"
"Airseat","US West, Scheduled","Hilo","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,925","5,652","5,495","5,338","5,652","5,338","5,652","5,495","5,181","5,652","6,120","6,300","5,320","5,320","4,864","3,496","3,192","3,952","4,271","4,104","3,040","3,344","3,925","4,239","5,082","5,456","4,620","3,234","3,388","3,399","4,466","3,804","3,128","3,424","3,234","4,266","4,484","4,774","4,774","3,388","3,388","3,388","4,004","2,002","2,464","3,388","3,850","3,508","4,466","4,774","4,978","3,794","3,590","3,460","4,266","2,714","2,667","3,508","3,448","3,496","4,218","5,098","4,208","3,604","3,794","3,652","4,482","3,154","2,726","3,592","3,486","3,652","4,648","4,870","5,014","3,818","4,316","4,102","4,802","5,159","4,648","5,146","4,980","5,146","4,980","5,146","3,652","3,486","3,652","3,984","4,316","2,822","2,656","3,665","3,873","3,938","4,700","5,146","4,804","3,486","4,648","3,818","4,316","2,656","2,490","3,652","0","0","0","0","0","0","0","0","0","0","0","1,992","2,158","2,158","4,999","5,549","5,549","3,759","3,759","4,117","4,537","2,685","2,148","3,899","2,887","3,183","5,191","0","5,549","4,117","3,925","3,818","4,482","1,162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","US West, Scheduled","Lihue","number","32,957","28,442","34,359","34,006","36,034","42,256","47,163","43,806","29,700","31,737","31,080","35,301","32,048","29,214","37,535","36,450","38,564","44,106","47,182","43,534","32,610","35,362","31,634","36,750","34,643","30,960","36,229","42,476","42,503","50,798","56,195","51,308","39,952","42,646","38,699","45,251","40,711","38,689","47,098","46,515","47,200","51,519","55,463","52,835","43,999","45,310","48,093","55,164","53,166","47,140","53,382","47,530","43,636","51,967","55,552","53,397","39,467","42,154","44,998","48,475","48,807","43,937","50,770","47,216","49,020","57,430","66,421","62,746","43,779","49,621","48,199","54,562","53,574","45,140","52,641","48,450","51,079","65,012","68,980","64,138","43,106","47,729","45,697","57,548","56,927","50,727","55,188","47,670","50,763","67,832","75,759","72,169","43,482","48,844","45,760","58,604","53,485","45,925","52,578","47,988","51,456","75,750","81,029","75,966","53,331","59,764","55,534","72,568","77,015","69,784","85,174","77,508","82,861","84,613","90,551","84,005","69,083","74,301","77,069","88,222","79,402","69,797","86,849","75,484","79,966","90,144","94,336","86,220","63,608","72,357","77,342","87,481","77,465","75,637","58,908","3,856","2,316","2,340","2,780","3,860","3,558","13,344","49,218","14,747","8,062","11,754","13,498","34,172","52,079","82,426","100,947","104,747","98,576","100,488","98,829","107,408","92,030","78,647","100,290","96,140","99,815","102,029","88,778","102,059","85,076","82,231","84,180","89,729","85,253","70,086","87,608","85,473","83,934","86,014","88,778","88,451","71,159","71,395","66,162","77,902","77,515","69,577","79,745","74,907","86,738","91,044","97,202","87,545","72,604","77,200","75,863","87,220","78,382","57,690","82,756","90,217","86,802","91,145","77,403","91,502","80,442","82,169","77,365","97,616","84,142","81,141","93,650","97,609"
"Airseat","US East, Scheduled","All airports in Hawaii","number","68,781","59,100","74,935","76,445","79,498","81,139","85,941","81,330","66,667","71,246","67,534","82,022","82,782","74,708","83,495","72,725","74,570","87,664","93,627","81,497","66,792","68,306","65,437","71,433","67,696","59,962","69,990","62,682","62,811","61,864","60,631","58,772","53,330","56,716","53,930","57,885","54,063","48,746","54,751","51,892","53,082","68,982","76,685","73,437","65,480","67,459","67,205","75,308","71,042","61,808","70,918","67,887","69,590","74,404","79,400","76,188","61,446","61,836","64,142","72,868","71,648","61,100","72,569","62,210","70,661","73,358","82,719","77,533","65,500","67,871","67,974","81,375","76,879","62,936","78,906","70,156","80,562","89,172","92,424","83,740","65,651","69,209","71,246","87,207","79,054","72,336","83,667","69,797","72,977","79,853","83,436","79,079","67,092","69,744","71,512","95,055","89,680","79,000","92,682","79,934","80,740","94,227","101,603","90,108","64,831","67,158","72,331","96,496","98,220","87,652","109,835","89,536","92,071","104,507","110,215","100,477","70,373","70,038","72,608","93,099","95,344","8,204","115,253","91,741","91,735","114,333","125,419","112,001","75,979","76,032","79,396","117,211","123,403","108,428","98,864","2,140","0","6,318","10,938","11,682","10,695","19,523","34,572","61,311","57,796","58,659","80,444","80,172","100,014","131,564","149,158","144,446","108,426","110,261","105,037","121,344","109,066","96,880","118,231","109,632","97,939","92,517","100,131","111,880","83,271","89,492","106,458","130,076","139,013","122,538","128,762","95,603","92,452","97,447","100,131","91,522","79,262","86,930","95,665","98,147","110,965","103,717","111,319","96,169","90,347","101,134","103,202","91,615","80,192","81,101","97,155","125,938","122,323","109,321","143,298","111,941","79,599","82,687","83,969","83,877","74,429","81,382","99,359","123,121","126,664","116,555","138,346","98,062"
"Airseat","US East, Scheduled","Honolulu","number","58,854","50,176","65,008","67,071","69,243","66,845","68,798","67,795","58,605","61,319","57,832","69,143","71,871","63,084","70,296","62,451","65,955","73,370","76,484","69,274","60,042","59,691","57,375","62,490","58,753","51,574","60,231","52,800","54,096","52,330","51,126","50,026","46,580","48,476","47,180","50,151","46,076","41,209","46,511","44,130","45,601","60,887","68,634","65,924","58,730","60,484","59,648","66,988","63,798","55,508","62,598","60,259","62,832","67,864","72,642","69,648","55,778","56,168","58,256","66,110","64,890","54,996","63,413","51,678","61,529","65,442","68,045","65,383","58,088","58,865","58,624","66,313","65,063","53,930","61,596","58,316","68,378","69,212","71,340","68,368","58,239","58,987","62,240","73,109","67,800","63,175","72,259","58,881","62,823","66,146","68,758","67,388","59,986","60,844","63,239","76,323","76,404","68,010","76,676","68,311","68,834","74,170","78,186","73,178","58,352","59,432","62,845","73,006","76,177","66,910","78,472","66,978","70,231","74,113","76,818","73,086","60,454","61,484","62,689","72,533","75,506","8,204","85,860","71,630","77,448","82,210","88,746","85,520","66,333","66,113","67,748","91,549","90,552","81,033","75,460","2,140","0","6,318","10,938","11,682","10,695","15,428","23,379","43,514","37,173","38,287","54,101","59,271","79,662","94,645","107,652","105,625","79,291","78,946","76,679","90,229","82,321","74,676","88,926","83,129","80,025","66,762","84,783","83,871","67,178","73,253","79,628","94,914","104,712","93,061","98,487","81,482","81,073","83,212","84,783","81,475","72,281","79,676","87,673","86,428","96,983","90,856","97,057","85,990","82,589","92,899","94,976","83,146","72,200","73,118","85,884","105,885","101,705","96,697","113,935","94,055","70,626","73,768","74,807","74,199","65,735","72,259","79,955","92,166","90,123","80,948","99,385","82,598"
"Airseat","US East, Scheduled","Kahului","number","9,927","8,924","9,927","9,374","10,255","14,294","17,143","13,535","8,062","9,927","9,702","12,879","10,911","11,624","13,199","10,274","8,615","14,294","17,143","12,223","6,750","8,615","8,062","8,943","8,943","8,388","9,759","9,882","8,715","9,534","9,505","8,746","6,750","8,240","6,750","7,734","7,987","7,537","8,240","7,762","7,481","8,095","8,051","7,513","6,750","6,975","7,557","8,320","7,244","6,300","8,320","7,628","6,758","6,540","6,758","6,540","5,668","5,668","5,886","6,758","6,758","6,104","9,156","10,532","9,132","7,916","14,674","12,150","7,412","9,006","9,350","15,062","11,816","9,006","17,310","11,840","12,184","19,960","21,084","15,372","7,412","10,222","9,006","14,098","11,254","9,161","11,408","10,916","10,154","13,707","14,678","11,691","7,106","8,900","8,273","15,179","11,604","9,736","12,453","11,205","11,906","13,996","16,938","12,541","6,479","7,726","9,486","16,384","19,117","16,562","21,749","21,931","21,840","23,842","24,934","21,931","9,919","8,554","9,919","17,017","17,927","0","22,022","19,838","14,287","25,298","28,210","21,294","9,646","9,919","11,648","21,840","26,572","21,662","18,217","0","0","0","0","0","0","4,095","11,193","14,248","12,706","13,547","17,880","19,536","20,352","24,688","27,454","25,012","19,730","22,852","20,441","18,764","24,225","21,232","25,174","24,753","17,086","24,483","14,133","26,737","14,821","14,649","25,558","33,572","33,029","28,205","29,321","12,831","10,407","13,263","14,133","9,561","6,981","7,254","7,020","10,504","13,010","11,889","13,047","9,693","7,758","8,235","8,226","8,469","7,992","7,983","11,271","19,567","19,646","11,652","28,148","17,886","8,973","8,919","9,162","9,678","8,694","9,123","17,064","25,105","28,465","28,070","31,863","14,978"
