"Group","Category","Indicator","Units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Kauai visitors","Attractions/entertainment","Daily spending ($)","dollar","","","","","","","","","","","","","","","5.79","7.00"
"Visitors from Europe","Attractions/entertainment","% of total spending","percent","","","","","","2.7","2.6","2.8","3.3","3.8","1.9","","2.9","1.3","3.3","3.6"
"Kauai visitors","Attractions/entertainment","% of total spending","percent","","","","","","","","","","","","","","","2.2","2.5"
"Visitors from Europe","Recreation","Daily spending ($)","dollar","","","","","","4.94","6.22","5.26","5.12","6.39","5.47","","5.70","6.82","3.81","6.50"
"Kauai visitors","Recreation","Daily spending ($)","dollar","","","","","","","","","","","","","","","8.32","9.66"
"Visitors from Europe","Recreation","% of total spending","percent","","","","","","2.7","3.5","2.8","3.1","3.7","3.6","","3.4","3.6","1.6","3.0"
"Kauai visitors","Recreation","% of total spending","percent","","","","","","","","","","","","","","","3.2","3.5"
"Visitors from Europe","Other activities & tours","Daily spending ($)","dollar","","","","","","9.85","5.42","4.19","5.81","4.56","7.11","","6.16","9.06","10.48","7.63"
"Kauai visitors","Other activities & tours","Daily spending ($)","dollar","","","","","","","","","","","","","","","10.59","12.50"
"Visitors from Europe","Other activities & tours","% of total spending","percent","","","","","","5.4","3.0","2.2","3.5","2.7","4.7","","3.7","4.7","4.3","3.6"
"Kauai visitors","Other activities & tours","% of total spending","percent","","","","","","","","","","","","","","","4.0","4.5"
"Visitors from Europe","Total Transportation","Daily spending ($)","dollar","19.62","22.14","21.55","23.55","23.32","22.89","26.64","26.11","20.91","26.31","24.67","","24.49","27.21","31.40","24.15"
"Kauai visitors","Total Transportation","Daily spending ($)","dollar","","20.00","21.02","20.91","20.30","19.63","19.43","22.12","23.78","23.79","21.21","","30.94","30.01","28.92","28.54"
"Visitors from Europe","Total Transportation","% of total spending","percent","13.6","13.9","13.5","13.5","13.2","12.6","15.0","13.7","12.6","15.3","16.4","","14.6","14.2","12.9","11.3"
"Kauai visitors","Total Transportation","% of total spending","percent","","13.5","13.6","13.2","12.4","11.9","11.2","12.0","12.6","12.4","11.2","","15.4","14.1","11.0","10.3"
"Visitors from Europe","Interisland airfare","Daily spending ($)","dollar","5.22","6.69","5.36","6.83","6.61","5.91","7.66","7.27","4.20","4.66","3.45","","4.14","1.89","2.86","3.57"
"Kauai visitors","Interisland airfare","Daily spending ($)","dollar","","2.99","3.37","2.77","2.69","2.55","3.01","4.60","3.67","3.11","2.47","","1.86","2.70","2.26","2.94"
"Visitors from Europe","Interisland airfare","% of total spending","percent","3.6","4.2","3.3","3.9","3.7","3.3","4.3","3.8","2.5","2.7","2.3","","2.5","1.0","1.2","1.7"
"Kauai visitors","Interisland airfare","% of total spending","percent","","2.0","2.2","1.8","1.6","1.5","1.7","2.5","1.9","1.6","1.3","","0.9","1.3","0.9","1.1"
"Visitors from Europe","Ground transportation","Daily spending ($)","dollar","1.38","1.89","1.57","1.78","1.84","2.25","2.69","3.35","3.83","2.41","2.74","","3.42","3.60","6.92","4.34"
"Kauai visitors","Ground transportation","Daily spending ($)","dollar","","0.38","0.35","0.40","0.40","0.33","0.37","0.29","0.41","0.47","0.43","","0.94","0.97","0.87","0.78"
"Visitors from Europe","Ground transportation","% of total spending","percent","1.0","1.2","1.0","1.0","1.0","1.2","1.5","1.8","2.3","1.4","1.8","","2.0","1.9","2.8","2.0"
"Kauai visitors","Ground transportation","% of total spending","percent","","0.3","0.2","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","","0.5","0.5","0.3","0.3"
"Visitors from Europe","Rental vehicles","Daily spending ($)","dollar","11.63","12.01","13.04","13.37","13.40","13.18","15.14","14.27","10.52","17.07","17.08","","15.19","16.99","18.40","14.59"
"Kauai visitors","Rental vehicles","Daily spending ($)","dollar","","15.43","15.92","16.38","15.86","15.52","15.09","16.37","18.75","19.12","17.41","","26.97","25.15","24.71","23.66"
"Visitors from Europe","Rental vehicles","% of total spending","percent","8.1","7.6","8.2","7.6","7.6","7.3","8.5","7.5","6.3","10.0","11.3","","9.1","8.8","7.6","6.8"
"Kauai visitors","Rental vehicles","% of total spending","percent","","10.4","10.3","10.4","9.7","9.4","8.7","8.9","9.9","10.0","9.2","","13.5","11.8","9.4","8.5"
"Visitors from Europe","Gasoline, parking, etc.","Daily spending ($)","dollar","1.40","1.55","1.58","1.57","1.47","1.55","1.16","1.23","1.51","2.17","1.39","","1.75","4.72","3.22","1.65"
"Kauai visitors","Gasoline, parking, etc.","Daily spending ($)","dollar","","1.20","1.38","1.35","1.35","1.24","0.97","0.86","0.95","1.09","0.91","","1.17","1.19","1.08","1.16"
"Visitors from Europe","Gasoline, parking, etc.","% of total spending","percent","1.0","1.0","1.0","0.9","0.8","0.9","0.6","0.6","0.9","1.3","0.9","","1.0","2.5","1.3","0.8"
"Kauai visitors","Gasoline, parking, etc.","% of total spending","percent","","0.8","0.9","0.9","0.8","0.8","0.6","0.5","0.5","0.6","0.5","","0.6","0.6","0.4","0.4"
"Visitors from Europe","Total Shopping","Daily spending ($)","dollar","16.29","15.34","17.02","18.36","18.64","16.16","16.22","18.22","14.63","14.43","10.13","","12.70","11.49","18.01","15.87"
"Kauai visitors","Total Shopping","Daily spending ($)","dollar","","15.05","14.79","14.91","14.47","13.64","14.61","14.95","15.16","14.79","13.80","","14.93","13.50","17.75","17.70"
"Visitors from Europe","Total Shopping","% of total spending","percent","11.3","9.6","10.6","10.5","10.5","8.9","9.1","9.6","8.8","8.4","6.7","","7.6","6.0","7.4","7.4"
"Kauai visitors","Total Shopping","% of total spending","percent","","10.1","9.6","9.4","8.9","8.3","8.4","8.1","8.0","7.7","7.3","","7.4","6.3","6.7","6.4"
"Visitors from Europe","Fashion and clothing","Daily spending ($)","dollar","8.70","7.50","8.75","9.82","8.87","8.31","7.71","10.54","7.45","6.10","5.96","","6.48","6.70","7.08","7.21"
"Kauai visitors","Fashion and clothing","Daily spending ($)","dollar","","5.25","5.53","5.51","5.07","5.40","5.87","5.77","6.24","5.88","5.71","","6.00","5.88","7.13","7.48"
"Visitors from Europe","Fashion and clothing","% of total spending","percent","6.0","4.7","5.5","5.6","5.0","4.6","4.3","5.6","4.5","3.6","4.0","","3.9","3.5","2.9","3.4"
"Kauai visitors","Fashion and clothing","% of total spending","percent","","3.5","3.6","3.5","3.1","3.3","3.4","3.1","3.3","3.1","3.0","","3.0","2.8","2.7","2.7"
"Visitors from Europe","Jewelry and watches","Daily spending ($)","dollar","1.83","2.14","2.06","2.19","3.24","1.35","2.24","4.19","1.78","0.80","1.08","","1.20","0.19","0.97","0.72"
"Kauai visitors","Jewelry and watches","Daily spending ($)","dollar","","3.70","3.21","3.00","3.42","2.53","2.70","2.71","2.30","2.40","2.07","","2.00","2.05","3.18","3.14"
"Visitors from Europe","Jewelry and watches","% of total spending","percent","1.3","1.3","1.3","1.3","1.8","0.7","1.3","2.2","1.1","0.5","0.7","","0.7","0.1","0.4","0.3"
"Kauai visitors","Jewelry and watches","% of total spending","percent","","2.5","2.1","1.9","2.1","1.5","1.6","1.5","1.2","1.2","1.1","","1.0","1.0","1.2","1.1"
"Visitors from Europe","Cosmetics, perfume","Daily spending ($)","dollar","0.31","0.30","0.39","0.33","0.55","0.75","0.94","0.46","0.59","1.52","0.15","","0.73","0.30","0.10","0.45"
"Kauai visitors","Cosmetics, perfume","Daily spending ($)","dollar","","0.16","0.19","0.17","0.20","0.34","0.32","0.25","0.36","0.29","0.14","","0.16","0.08","0.18","0.18"
"Visitors from Europe","Cosmetics, perfume","% of total spending","percent","0.2","0.2","0.2","0.2","0.3","0.4","0.5","0.2","0.4","0.9","0.1","","0.4","0.2","0.0","0.2"
"Kauai visitors","Cosmetics, perfume","% of total spending","percent","","0.1","0.1","0.1","0.1","0.2","0.2","0.1","0.2","0.2","0.1","","0.1","0.0","0.1","0.1"
"Visitors from Europe","Leather goods","Daily spending ($)","dollar","0.71","0.55","0.52","0.67","1.28","0.84","0.77","0.24","0.79","0.71","0.43","","0.64","0.11","5.65","0.13"
"Kauai visitors","Leather goods","Daily spending ($)","dollar","","0.17","0.19","0.20","0.12","0.13","0.14","0.16","0.14","0.16","0.13","","0.11","0.10","0.17","0.10"
"Visitors from Europe","Leather goods","% of total spending","percent","0.5","0.3","0.3","0.4","0.7","0.5","0.4","0.1","0.5","0.4","0.3","","0.4","0.1","2.3","0.1"
"Kauai visitors","Leather goods","% of total spending","percent","","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","","0.1","0.0","0.1","0.0"
"Visitors from Europe","Hawaii food products","Daily spending ($)","dollar","1.20","1.02","1.14","1.23","1.71","1.51","1.34","0.97","0.53","1.52","0.54","","0.86","1.72","1.85","2.09"
"Kauai visitors","Hawaii food products","Daily spending ($)","dollar","","1.65","1.73","1.89","1.91","1.84","2.04","2.10","2.13","2.33","2.38","","2.56","2.58","3.04","3.23"
"Visitors from Europe","Hawaii food products","% of total spending","percent","0.8","0.6","0.7","0.7","1.0","0.8","0.8","0.5","0.3","0.9","0.4","","0.5","0.9","0.8","1.0"
"Kauai visitors","Hawaii food products","% of total spending","percent","","1.1","1.1","1.2","1.2","1.1","1.2","1.1","1.1","1.2","1.3","","1.3","1.2","1.2","1.2"
"Visitors from Europe","Souvenirs","Daily spending ($)","dollar","3.55","3.83","4.16","4.12","2.99","3.40","3.23","1.82","2.60","3.78","1.96","","2.80","2.48","2.37","5.27"
"Kauai visitors","Souvenirs","Daily spending ($)","dollar","","4.12","3.93","4.14","3.75","3.41","3.53","3.96","3.99","3.73","3.36","","4.11","2.82","4.04","3.57"
"Visitors from Europe","Souvenirs","% of total spending","percent","2.5","2.4","2.6","2.4","1.7","1.9","1.8","1.0","1.6","2.2","1.3","","1.7","1.3","1.0","2.5"
"Kauai visitors","Souvenirs","% of total spending","percent","","2.8","2.5","2.6","2.3","2.1","2.0","2.2","2.1","1.9","1.8","","2.0","1.3","1.5","1.3"
"Visitors from Europe","Lodging","Daily spending ($)","dollar","60.45","69.15","66.31","79.10","82.89","79.56","77.23","88.17","66.61","65.27","59.65","","67.89","87.53","108.44","103.31"
"Kauai visitors","Lodging","Daily spending ($)","dollar","","57.09","61.96","65.81","70.41","72.92","77.07","80.66","82.08","86.47","88.41","","91.46","101.09","133.11","139.54"
"Visitors from Europe","Lodging","% of total spending","percent","41.9","43.5","41.5","45.2","46.9","43.8","43.5","46.4","40.1","38.1","39.6","","40.4","45.6","44.6","48.5"
"Kauai visitors","Lodging","% of total spending","percent","","38.4","40.1","41.7","43.1","44.2","44.6","43.9","43.6","45.1","46.8","","45.6","47.4","50.5","50.4"
"Visitors from Europe","All other expenses","Daily spending ($)","dollar","4.51","3.84","4.95","4.38","5.58","5.34","5.99","5.77","4.90","7.04","5.06","","5.64","3.35","9.18","5.77"
"Kauai visitors","All other expenses","Daily spending ($)","dollar","","6.71","4.90","4.91","5.65","5.40","5.53","5.29","5.56","5.13","5.84","","3.00","4.89","8.62","4.39"
"Visitors from Europe","All other expenses","% of total spending","percent","3.1","2.4","3.1","2.5","3.2","2.9","3.4","3.0","2.9","4.1","3.4","","3.4","1.7","3.8","2.7"
"Kauai visitors","All other expenses","% of total spending","percent","","4.5","3.2","3.1","3.5","3.3","3.2","2.9","3.0","2.7","3.1","","1.5","2.3","3.3","1.6"
"Visitors from Oceania","Grand Total","Daily spending ($)","dollar","202.89","206.90","228.15","245.49","259.53","258.56","262.78","286.46","269.00","260.39","261.68","","235.07","284.72","295.64","300.36"
"Visitors from Oceania","Grand Total","% of total spending","percent","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"Visitors from Oceania","Total Food and beverage","Daily spending ($)","dollar","42.66","42.51","45.48","47.34","49.18","48.67","50.41","54.94","54.64","53.65","55.96","","48.95","64.61","67.17","67.77"
"Visitors from Oceania","Total Food and beverage","% of total spending","percent","21.0","20.5","19.9","19.3","19.0","18.8","19.2","19.2","20.3","20.6","21.4","","20.8","22.7","22.7","22.6"
"Visitors from Oceania","Restaurant food","Daily spending ($)","dollar","30.11","30.12","32.50","34.81","36.73","35.98","36.57","39.76","39.79","38.28","40.50","","35.33","47.30","47.83","46.72"
"Visitors from Oceania","Restaurant food","% of total spending","percent","14.8","14.6","14.2","14.2","14.2","13.9","13.9","13.9","14.8","14.7","15.5","","15.0","16.6","16.2","15.6"
"Visitors from Oceania","Dinner shows and cruises","Daily spending ($)","dollar","4.50","4.46","4.53","4.35","4.30","3.80","4.91","5.34","5.29","5.16","4.79","","4.55","5.02","6.09","7.25"
"Visitors from Oceania","Dinner shows and cruises","% of total spending","percent","2.2","2.2","2.0","1.8","1.7","1.5","1.9","1.9","2.0","2.0","1.8","","1.9","1.8","2.1","2.4"
"Visitors from Oceania","Groceries and snacks","Daily spending ($)","dollar","8.05","7.94","8.45","8.18","8.15","8.89","8.93","9.84","9.56","10.20","10.58","","9.07","12.29","13.25","13.80"
"Visitors from Oceania","Groceries and snacks","% of total spending","percent","4.0","3.8","3.7","3.3","3.1","3.4","3.4","3.4","3.6","3.9","4.0","","3.9","4.3","4.5","4.6"
"Visitors from Oceania","Total Entertainment & Recreation","Daily spending ($)","dollar","19.53","18.28","21.08","21.34","23.41","22.77","24.15","24.76","24.98","25.33","25.15","","22.56","26.36","28.12","28.21"
"Visitors from Oceania","Total Entertainment & Recreation","% of total spending","percent","9.6","8.8","9.2","8.7","9.0","8.8","9.2","8.6","9.3","9.7","9.6","","9.6","9.3","9.5","9.4"
"Visitors from Oceania","Attractions/entertainment","Daily spending ($)","dollar","","","","","","9.39","10.56","11.28","10.81","11.86","12.38","","10.34","11.29","13.09","13.66"
"Visitors from Oceania","Attractions/entertainment","% of total spending","percent","","","","","","3.6","4.0","3.9","4.0","4.6","4.7","","4.4","4.0","4.4","4.5"
"Visitors from Oceania","Recreation","Daily spending ($)","dollar","","","","","","4.77","4.95","4.40","4.50","4.05","4.71","","3.94","6.05","5.79","5.68"
"Visitors from Oceania","Recreation","% of total spending","percent","","","","","","1.8","1.9","1.5","1.7","1.6","1.8","","1.7","2.1","2.0","1.9"
"Visitors from Oceania","Other activities & tours","Daily spending ($)","dollar","","","","","","8.60","8.64","9.07","9.67","9.42","8.67","","8.27","9.01","9.24","8.88"
"Visitors from Oceania","Other activities & tours","% of total spending","percent","","","","","","3.3","3.3","3.2","3.6","3.6","3.3","","3.5","3.2","3.1","3.0"
"Visitors from Oceania","Total Transportation","Daily spending ($)","dollar","14.06","14.40","14.49","14.79","14.44","15.69","16.61","17.23","16.97","16.17","15.49","","14.45","20.45","19.06","18.86"
"Visitors from Oceania","Total Transportation","% of total spending","percent","6.9","7.0","6.4","6.0","5.6","6.1","6.3","6.0","6.3","6.2","5.9","","6.1","7.2","6.4","6.3"
"Visitors from Oceania","Interisland airfare","Daily spending ($)","dollar","3.54","3.87","4.02","3.94","3.56","3.88","4.53","4.49","3.92","3.38","2.93","","3.05","2.22","2.32","3.19"
"Visitors from Oceania","Interisland airfare","% of total spending","percent","1.7","1.9","1.8","1.6","1.4","1.5","1.7","1.6","1.5","1.3","1.1","","1.3","0.8","0.8","1.1"
"Visitors from Oceania","Ground transportation","Daily spending ($)","dollar","3.22","3.21","3.50","3.34","3.64","4.04","4.04","3.82","3.57","3.78","4.01","","3.39","5.48","6.14","6.52"
"Visitors from Oceania","Ground transportation","% of total spending","percent","1.6","1.6","1.5","1.4","1.4","1.6","1.5","1.3","1.3","1.5","1.5","","1.4","1.9","2.1","2.2"
"Visitors from Oceania","Rental vehicles","Daily spending ($)","dollar","6.20","6.28","6.17","6.68","6.57","7.00","7.29","8.19","8.64","8.35","7.86","","7.38","11.57","9.67","8.27"
"Visitors from Oceania","Rental vehicles","% of total spending","percent","3.1","3.0","2.7","2.7","2.5","2.7","2.8","2.9","3.2","3.2","3.0","","3.1","4.1","3.3","2.8"
"Visitors from Oceania","Gasoline, parking, etc.","Daily spending ($)","dollar","1.10","1.04","0.80","0.83","0.66","0.76","0.76","0.73","0.75","0.65","0.69","","0.62","1.18","0.93","0.89"
"Visitors from Oceania","Gasoline, parking, etc.","% of total spending","percent","0.5","0.5","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.2","0.3","","0.3","0.4","0.3","0.3"
"Visitors from Oceania","Total Shopping","Daily spending ($)","dollar","50.44","53.65","63.29","59.23","60.90","62.69","54.12","56.38","58.60","56.36","53.21","","50.18","49.89","45.74","43.79"
"Visitors from Oceania","Total Shopping","% of total spending","percent","24.9","25.9","27.7","24.1","23.5","24.2","20.6","19.7","21.8","21.6","20.3","","21.3","17.5","15.5","14.6"
"Visitors from Oceania","Fashion and clothing","Daily spending ($)","dollar","28.70","30.52","37.31","35.72","37.87","39.25","34.16","35.95","37.48","36.77","34.65","","32.47","32.55","30.41","29.03"
"Visitors from Oceania","Fashion and clothing","% of total spending","percent","14.1","14.7","16.4","14.5","14.6","15.2","13.0","12.5","13.9","14.1","13.2","","13.8","11.4","10.3","9.7"
"Visitors from Oceania","Jewelry and watches","Daily spending ($)","dollar","7.49","8.22","7.99","7.49","6.27","5.78","4.98","4.83","4.94","4.76","3.99","","4.10","3.34","2.88","2.80"
"Visitors from Oceania","Jewelry and watches","% of total spending","percent","3.7","4.0","3.5","3.1","2.4","2.2","1.9","1.7","1.8","1.8","1.5","","1.7","1.2","1.0","0.9"
"Visitors from Oceania","Cosmetics, perfume","Daily spending ($)","dollar","3.45","4.29","5.44","5.10","5.54","6.24","5.06","4.84","4.76","4.22","3.16","","3.62","2.64","2.35","2.28"
"Visitors from Oceania","Cosmetics, perfume","% of total spending","percent","1.7","2.1","2.4","2.1","2.1","2.4","1.9","1.7","1.8","1.6","1.2","","1.5","0.9","0.8","0.8"
"Visitors from Oceania","Leather goods","Daily spending ($)","dollar","3.25","3.29","5.04","3.72","4.57","5.38","4.69","5.13","5.51","4.77","4.94","","4.56","4.44","2.97","2.83"
"Visitors from Oceania","Leather goods","% of total spending","percent","1.6","1.6","2.2","1.5","1.8","2.1","1.8","1.8","2.0","1.8","1.9","","1.9","1.6","1.0","0.9"
"Visitors from Oceania","Hawaii food products","Daily spending ($)","dollar","1.28","1.37","1.31","1.43","1.57","1.82","1.32","1.32","1.47","1.72","1.93","","1.53","2.10","2.19","2.26"
"Visitors from Oceania","Hawaii food products","% of total spending","percent","0.6","0.7","0.6","0.6","0.6","0.7","0.5","0.5","0.5","0.7","0.7","","0.7","0.7","0.7","0.8"
"Visitors from Oceania","Souvenirs","Daily spending ($)","dollar","6.27","5.96","6.20","5.77","5.08","4.22","3.91","4.31","4.44","4.13","4.53","","3.91","4.83","4.94","4.59"
"Visitors from Oceania","Souvenirs","% of total spending","percent","3.1","2.9","2.7","2.4","2.0","1.6","1.5","1.5","1.7","1.6","1.7","","1.7","1.7","1.7","1.5"
"Visitors from Oceania","Lodging","Daily spending ($)","dollar","68.25","69.99","77.02","88.21","96.99","96.61","104.24","118.33","98.27","96.18","98.03","","86.33","114.84","123.27","127.71"
"Visitors from Oceania","Lodging","% of total spending","percent","33.6","33.8","33.8","35.9","37.4","37.4","39.7","41.3","36.5","36.9","37.5","","36.7","40.3","41.7","42.5"
"Visitors from Oceania","All other expenses","Daily spending ($)","dollar","7.95","8.06","6.79","14.58","14.61","12.13","13.24","14.83","15.55","12.69","13.84","","12.59","8.57","12.28","14.01"
"Visitors from Oceania","All other expenses","% of total spending","percent","3.9","3.9","3.0","5.9","5.6","4.7","5.0","5.2","5.8","4.9","5.3","","5.4","3.0","4.2","4.7"
"Visitors from Australia","Grand Total","Daily spending ($)","dollar","","206.70","228.74","247.96","266.97","270.10","264.11","293.24","273.22","266.92","267.58","","237.43","292.11","301.75","306.60"
"Visitors from Australia","Grand Total","% of total spending","percent","","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"Visitors from Australia","Total Food and beverage","Daily spending ($)","dollar","","28.45","46.80","50.34","53.09","53.76","53.13","57.04","56.14","55.16","58.02","","49.91","66.02","70.52","70.28"
"Visitors from Australia","Total Food and beverage","% of total spending","percent","","13.8","20.5","20.3","19.9","19.9","20.1","19.5","20.5","20.7","21.7","","21.0","22.6","23.4","22.9"
"Visitors from Australia","Restaurant food","Daily spending ($)","dollar","","19.82","33.15","37.19","39.83","41.16","38.53","41.93","41.08","39.11","42.05","","36.03","48.69","51.47","49.22"
"Visitors from Australia","Restaurant food","% of total spending","percent","","9.6","14.5","15.0","14.9","15.2","14.6","14.3","15.0","14.7","15.7","","15.2","16.7","17.1","16.1"
"Visitors from Australia","Dinner shows and cruises","Daily spending ($)","dollar","","3.16","5.50","5.04","5.29","4.65","5.39","5.54","5.54","5.88","5.38","","4.96","5.34","6.72","8.11"
"Visitors from Australia","Dinner shows and cruises","% of total spending","percent","","1.5","2.4","2.0","2.0","1.7","2.0","1.9","2.0","2.2","2.0","","2.1","1.8","2.2","2.6"
"Visitors from Australia","Groceries and snacks","Daily spending ($)","dollar","","5.47","8.15","8.11","7.97","7.96","9.21","9.57","9.52","10.18","10.60","","8.93","11.99","12.33","12.94"
"Visitors from Australia","Groceries and snacks","% of total spending","percent","","2.6","3.6","3.3","3.0","2.9","3.5","3.3","3.5","3.8","4.0","","3.8","4.1","4.1","4.2"
"Visitors from Australia","Total Entertainment & Recreation","Daily spending ($)","dollar","","19.82","21.85","21.93","23.93","23.76","24.50","25.53","25.53","26.28","26.55","","23.18","27.90","29.36","30.38"
"Visitors from Australia","Total Entertainment & Recreation","% of total spending","percent","","9.6","9.6","8.8","9.0","8.8","9.3","8.7","9.3","9.8","9.9","","9.8","9.6","9.7","9.9"
"Visitors from Australia","Attractions/entertainment","Daily spending ($)","dollar","","","","","","10.65","10.93","11.88","11.35","12.23","12.98","","10.69","12.03","13.82","15.02"
"Visitors from Australia","Attractions/entertainment","% of total spending","percent","","","","","","3.9","4.1","4.1","4.2","4.6","4.8","","4.5","4.1","4.6","4.9"
"Visitors from Australia","Recreation","Daily spending ($)","dollar","","","","","","4.20","4.78","4.23","4.43","4.27","4.75","","3.95","6.19","5.41","5.76"
"Visitors from Australia","Recreation","% of total spending","percent","","","","","","1.6","1.8","1.4","1.6","1.6","1.8","","1.7","2.1","1.8","1.9"
"Visitors from Australia","Other activities & tours","Daily spending ($)","dollar","","","","","","8.90","8.79","9.42","9.75","9.77","9.45","","8.54","9.67","10.14","9.59"
"Visitors from Australia","Other activities & tours","% of total spending","percent","","","","","","3.3","3.3","3.2","3.6","3.7","3.5","","3.6","3.3","3.4","3.1"
"Visitors from Australia","Total Transportation","Daily spending ($)","dollar","","9.98","13.16","14.26","14.13","15.17","15.69","17.42","17.06","16.14","15.61","","14.34","21.15","19.34","19.52"
"Visitors from Australia","Total Transportation","% of total spending","percent","","4.8","5.8","5.8","5.3","5.6","5.9","5.9","6.2","6.0","5.8","","6.0","7.2","6.4","6.4"
"Visitors from Australia","Interisland airfare","Daily spending ($)","dollar","","3.35","4.41","4.23","3.78","4.05","4.28","4.37","3.88","3.32","3.07","","3.04","2.38","2.45","3.23"
"Visitors from Australia","Interisland airfare","% of total spending","percent","","1.6","1.9","1.7","1.4","1.5","1.6","1.5","1.4","1.2","1.1","","1.3","0.8","0.8","1.1"
"Visitors from Australia","Ground transportation","Daily spending ($)","dollar","","2.32","3.23","3.19","3.60","3.73","3.75","3.79","3.59","3.78","4.04","","3.36","5.62","6.34","6.52"
"Visitors from Australia","Ground transportation","% of total spending","percent","","1.1","1.4","1.3","1.3","1.4","1.4","1.3","1.3","1.4","1.5","","1.4","1.9","2.1","2.1"
"Visitors from Australia","Rental vehicles","Daily spending ($)","dollar","","3.60","4.68","6.03","6.13","6.75","6.94","8.51","8.77","8.39","7.86","","7.35","11.95","9.70","8.89"
"Visitors from Australia","Rental vehicles","% of total spending","percent","","1.7","2.0","2.4","2.3","2.5","2.6","2.9","3.2","3.1","2.9","","3.1","4.1","3.2","2.9"
"Visitors from Australia","Gasoline, parking, etc.","Daily spending ($)","dollar","","0.71","0.84","0.81","0.63","0.64","0.72","0.76","0.72","0.64","0.64","","0.59","1.20","0.85","0.89"
"Visitors from Australia","Gasoline, parking, etc.","% of total spending","percent","","0.3","0.4","0.3","0.2","0.2","0.3","0.3","0.3","0.2","0.2","","0.2","0.4","0.3","0.3"
"Visitors from Australia","Total Shopping","Daily spending ($)","dollar","","39.12","67.87","69.96","68.76","70.89","58.27","56.15","59.08","56.98","52.78","","49.82","49.08","43.67","40.92"
"Visitors from Australia","Total Shopping","% of total spending","percent","","18.9","29.7","28.2","25.8","26.2","22.1","19.1","21.6","21.3","19.7","","21.0","16.8","14.5","13.3"
"Visitors from Australia","Fashion and clothing","Daily spending ($)","dollar","","22.88","40.01","40.70","42.19","43.35","35.81","34.71","36.53","36.36","32.89","","31.20","30.92","27.25","26.52"
"Visitors from Australia","Fashion and clothing","% of total spending","percent","","11.1","17.5","16.4","15.8","16.0","13.6","11.8","13.4","13.6","12.3","","13.1","10.6","9.0","8.6"
"Visitors from Australia","Jewelry and watches","Daily spending ($)","dollar","","5.25","8.82","9.68","7.84","7.59","5.74","5.21","5.30","4.74","4.61","","4.32","3.58","2.99","2.57"
"Visitors from Australia","Jewelry and watches","% of total spending","percent","","2.5","3.9","3.9","2.9","2.8","2.2","1.8","1.9","1.8","1.7","","1.8","1.2","1.0","0.8"
"Visitors from Australia","Cosmetics, perfume","Daily spending ($)","dollar","","3.42","6.34","6.73","6.78","6.87","5.47","4.59","4.84","4.44","3.16","","3.67","2.62","2.53","1.88"
"Visitors from Australia","Cosmetics, perfume","% of total spending","percent","","1.7","2.8","2.7","2.5","2.5","2.1","1.6","1.8","1.7","1.2","","1.5","0.9","0.8","0.6"
"Visitors from Australia","Leather goods","Daily spending ($)","dollar","","2.66","5.53","5.35","5.31","6.56","5.42","5.65","6.11","5.18","5.26","","4.90","4.66","2.87","2.52"
"Visitors from Australia","Leather goods","% of total spending","percent","","1.3","2.4","2.2","2.0","2.4","2.1","1.9","2.2","1.9","2.0","","2.1","1.6","1.0","0.8"
"Visitors from Australia","Hawaii food products","Daily spending ($)","dollar","","0.71","1.03","1.40","1.28","1.33","1.35","1.22","1.38","1.67","1.72","","1.41","2.06","2.19","1.81"
"Visitors from Australia","Hawaii food products","% of total spending","percent","","0.3","0.5","0.6","0.5","0.5","0.5","0.4","0.5","0.6","0.6","","0.6","0.7","0.7","0.6"
"Visitors from Australia","Souvenirs","Daily spending ($)","dollar","","4.20","6.14","6.10","5.36","5.18","4.46","4.77","4.93","4.60","5.14","","4.32","5.24","5.83","5.62"
"Visitors from Australia","Souvenirs","% of total spending","percent","","2.0","2.7","2.5","2.0","1.9","1.7","1.6","1.8","1.7","1.9","","1.8","1.8","1.9","1.8"
"Visitors from Australia","Lodging","Daily spending ($)","dollar","","65.53","74.71","87.09","92.66","93.25","98.98","121.46","98.81","98.68","100.45","","87.07","118.76","126.27","130.74"
"Visitors from Australia","Lodging","% of total spending","percent","","31.7","32.7","35.1","34.7","34.5","37.5","41.4","36.2","37.0","37.5","","36.7","40.7","41.8","42.6"
"Visitors from Australia","All other expenses","Daily spending ($)","dollar","","43.79","4.34","4.38","14.39","13.27","13.53","15.63","16.60","13.68","14.16","","13.12","9.20","12.59","14.76"
"Visitors from Australia","All other expenses","% of total spending","percent","","21.2","1.9","1.8","5.4","4.9","5.1","5.3","6.1","5.1","5.3","","5.5","3.2","4.2","4.8"
"Visitors from New Zealand","Grand Total","Daily spending ($)","dollar","","154.18","168.01","192.33","208.39","220.31","227.32","262.84","248.95","229.29","241.77","","216.67","251.91","280.61","285.86"
