"Group","Category","Indicator","Units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Visitors from US West","Restaurant food","% of total spending","percent","14.9","15.4","15.5","14.9","14.3","14.3","13.5","13.7","13.6","13.6","13.5","","13.4","12.9","13.4","13.9"
"Hawaii ISL visitors","Restaurant food","% of total spending","percent","","13.4","13.6","13.3","13.4","13.0","13.1","13.5","13.2","13.6","14.7","","13.5","12.9","13.9","13.6"
"Visitors from US West","Dinner shows and cruises","Daily spending ($)","dollar","2.76","3.07","3.06","3.14","2.92","3.32","3.40","3.61","4.03","4.11","3.86","","3.88","5.28","5.34","4.76"
"Hawaii ISL visitors","Dinner shows and cruises","Daily spending ($)","dollar","","1.96","2.30","2.17","2.27","2.25","2.07","2.06","2.26","2.62","2.66","","2.84","2.74","3.44","3.79"
"Visitors from US West","Dinner shows and cruises","% of total spending","percent","2.1","2.2","2.1","2.1","1.9","2.1","2.1","2.2","2.3","2.3","2.2","","2.0","2.4","2.4","2.1"
"Hawaii ISL visitors","Dinner shows and cruises","% of total spending","percent","","1.4","1.5","1.4","1.3","1.3","1.3","1.1","1.2","1.4","1.5","","1.7","1.4","1.6","1.6"
"Visitors from US West","Groceries and snacks","Daily spending ($)","dollar","8.21","8.05","8.28","8.48","8.76","9.10","9.29","9.60","9.69","9.74","9.76","","10.97","11.32","12.16","12.71"
"Hawaii ISL visitors","Groceries and snacks","Daily spending ($)","dollar","","8.38","9.35","9.08","9.19","9.25","9.06","10.07","10.61","10.41","10.32","","9.57","12.03","12.32","13.04"
"Visitors from US West","Groceries and snacks","% of total spending","percent","6.2","5.8","5.7","5.6","5.6","5.7","5.7","5.7","5.6","5.5","5.6","","5.6","5.1","5.4","5.5"
"Hawaii ISL visitors","Groceries and snacks","% of total spending","percent","","5.8","6.2","5.7","5.4","5.4","5.6","5.6","5.8","5.7","5.8","","5.7","6.1","5.7","5.4"
"Visitors from US West","Total Entertainment & Recreation","Daily spending ($)","dollar","12.84","12.59","12.96","13.35","12.96","14.29","14.08","14.69","15.86","15.76","15.14","","16.37","19.28","19.23","21.05"
"Hawaii ISL visitors","Total Entertainment & Recreation","Daily spending ($)","dollar","","15.77","16.32","17.26","19.04","18.10","16.97","18.16","20.29","19.54","17.26","","16.94","18.95","19.88","24.69"
"Visitors from US West","Total Entertainment & Recreation","% of total spending","percent","9.6","9.0","9.0","8.8","8.3","8.9","8.7","8.7","9.1","9.0","8.7","","8.4","8.7","8.5","9.2"
"Hawaii ISL visitors","Total Entertainment & Recreation","% of total spending","percent","","11.0","10.8","10.9","11.1","10.5","10.6","10.1","11.0","10.6","9.7","","10.1","9.6","9.2","10.3"
"Visitors from US West","Attractions/entertainment","Daily spending ($)","dollar","","","","","","3.20","3.42","3.58","3.89","3.81","4.03","","3.95","4.90","4.88","5.40"
"Hawaii ISL visitors","Attractions/entertainment","Daily spending ($)","dollar","","","","","","","","","","","","","","","5.06","6.52"
"Visitors from US West","Attractions/entertainment","% of total spending","percent","","","","","","2.0","2.1","2.1","2.2","2.2","2.3","","2.0","2.2","2.2","2.4"
"Hawaii ISL visitors","Attractions/entertainment","% of total spending","percent","","","","","","","","","","","","","","","2.3","2.7"
"Visitors from US West","Recreation","Daily spending ($)","dollar","","","","","","6.53","6.17","6.32","6.43","6.47","6.19","","7.29","7.95","7.48","8.46"
